rubrik;kategori;kategori_detaljerad;ort;lat;long;url;bildurl;datum
På Gellinergården gör personalen sitt eget schema;arbetstid;schema;Bräcke;62.9667;15.5833;https://ka.se/2022/01/18/pa-nya-gellinergarden-gor-personalen-sitt-eget-schema/;https://media.arto.se/app/uploads/sites/10/2022/01/dragare4.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=2000&h=1125;2022-01-18
Här testar personal i sjukvården 30 timmars arbetsvecka;arbetstid;arbetstid;Värmland;60.5225731295816;12.8339346028978;https://ka.se/2022/01/31/har-testa-personal-i-sjukvarden-30-timmars-arbetsvecka/;https://images.lomediehus.se/app/uploads/sites/5/2022/01/30211802/karlstad-psyk.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-01-31
Nattarbetare vann kampen om tiotimmarspass;arbetstid;arbetstid;Oskarshamn;57.2651;16.4487;https://ka.se/2022/02/04/nattarbetare-i-oskarshamn-vann-kampen-om-tiotimmarspass/;https://images.lomediehus.se/app/uploads/sites/5/2022/02/04114538/firaoskarsahamn.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-02-04
Facklig kamp gav färre nattpass;arbetstid;arbetstid;Falkenberg;56.9025;12.4897;https://ka.se/2022/02/07/facklig-kamp-gav-farre-nattpass-i-falkenerg/;https://images.lomediehus.se/app/uploads/sites/5/2022/02/06214404/falkenberg.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-02-07
Halverad sjukfrånvaro på hemtjänsten – så här gjorde de;arbetsvillkor;arbetsvillkor;Uppsala;59.8586;17.6389;https://ka.se/2022/02/16/halverad-sjukfranvaro-pa-hemtjanst-i-uppsala-sa-har-gjorde-de/;https://images.lomediehus.se/app/uploads/sites/5/2022/02/11155903/svartbackens-hemsjukvard-14ny.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-02-16
Undersköterskor i sjukvården får sänkt nattarbetstid;arbetstid;arbetstid;Halland;56.8084690925926;12.6962049310851;https://ka.se/2022/02/22/underskoterskor-i-sjukvarden-i-halland-far-sankt-nattarbetstid/;https://images.lomediehus.se/app/uploads/sites/5/2022/02/22112136/tarta-halland-1.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-02-22
Facket vann kampen om nattarbetstid;arbetstid;arbetstid;Mönsterås;57.0092;16.4478;https://ka.se/2022/03/01/facket-i-monsteras-vann-kampen-om-nattarbetstid/;https://images.lomediehus.se/app/uploads/sites/5/2022/03/01114442/vykort.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-03-01
Efter protester – nattpassen blir färre i Varberg och Umeå;arbetstid;arbetstid;Varberg;57.1071;12.2521;https://ka.se/2022/04/05/efter-protester-nattpassen-bli-farre-i-varberg-och-umea/;https://images.lomediehus.se/app/uploads/sites/5/2021/03/29154133/shutterstock-1448610095.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-04-05
Efter protester – nattpassen blir färre i Varberg och Umeå;arbetstid;arbetstid;Umeå;63.8258;20.263;https://ka.se/2022/04/05/efter-protester-nattpassen-bli-farre-i-varberg-och-umea/;https://images.lomediehus.se/app/uploads/sites/5/2021/03/29154133/shutterstock-1448610095.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-04-05
Stödassistenter får gratis badkläder;arbetskläder;arbetskläder;Alvesta;56.8986;14.5559;https://ka.se/2022/04/14/stodassistenter-i-alvesta-far-gratis-badklader/;https://images.lomediehus.se/app/uploads/sites/5/2022/04/13162136/badklader-avesta.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-04-14
26 timmar blir heltid när helgtjänster införs;arbetstid;arbetstid;Laholm;56.5013;13.0453;https://ka.se/2022/05/13/laholm-infor-helgtjanster-och-kortar-heltidsmatt-till-26-timmar/;https://images.lomediehus.se/app/uploads/sites/5/2022/05/13105626/kalendermedhelgpass.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-05-13
Slutar med minutstyrning i hemtjänsten;minutstyrning;minutstyrning;Bollebygd;57.7208;12.5897;https://ka.se/2022/05/18/har-lamnar-man-minutstyrningen-i-hemtjansten/;https://images.lomediehus.se/app/uploads/sites/5/2022/05/18133103/slutpatidmatning.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-05-18
Backar och tar bort nattpass;arbetstid;arbetstid;Strömsund;63.8513;15.5446;https://ka.se/2022/05/19/stromsund-backar-och-tar-bort-nattpass/;https://images.lomediehus.se/app/uploads/sites/5/2022/05/19132541/stromsund001.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=300;2022-05-19
